crop_name,key_crop_name
ALMOND HULLS ,['Almonds']
ALMONDS ALL,['Almonds']
ALMONDS ALL ,['Almonds']
ANISE (FENNEL),['Herbs']
ANISE (FENNEL) ,['Herbs']
APPLES ALL,['Apples']
APPLES ALL ,['Apples']
APRICOTS ALL,['Apricots']
APRICOTS ALL ,['Apricots']
ARTICHOKES,['Misc Vegs & Fruits']
ARTICHOKES ,['Misc Vegs & Fruits']
ASPARAGUS UNSPECIFIED,['Asparagus']
ASPARAGUS UNSPECIFIED ,['Asparagus']
AVOCADOS ALL,['Avocados']
AVOCADOS ALL ,['Avocados']
"Alfalfa, Hay",['Alfalfa']
"Alfalfa, Silage",['Alfalfa']
"Almonds, Nuts",['Almonds']
Anise/Fennel,['Herbs']
Apples,['Apples']
Apricots,['Apricots']
Artichokes,['Misc Vegs & Fruits']
Asparagus,['Asparagus']
Avocados,['Avocados']
BARLEY FEED,['Barley']
BARLEY FEED ,['Barley']
BARLEY SEED,['Barley']
BARLEY SEED ,['Barley']
BARLEY UNSPECIFIED,['Barley']
BARLEY UNSPECIFIED ,['Barley']
BEANS BLACKEYE (PEAS),['Dry Beans']
BEANS BLACKEYE (PEAS) ,['Dry Beans']
BEANS DRY EDIBLE UNSPECIFIED,['Dry Beans']
BEANS DRY EDIBLE UNSPECIFIED ,['Dry Beans']
BEANS FAVA,['Dry Beans']
BEANS FAVA ,['Dry Beans']
BEANS FRESH UNSPECIFIED,['Dry Beans']
BEANS FRESH UNSPECIFIED ,['Dry Beans']
BEANS GARBANZO,['Dry Beans']
BEANS GARBANZO ,['Dry Beans']
BEANS KIDNEY RED,['Dry Beans']
BEANS KIDNEY RED ,['Dry Beans']
BEANS LIMA BABY DRY,['Dry Beans']
BEANS LIMA BABY DRY ,['Dry Beans']
BEANS LIMA GREEN ,['Dry Beans']
BEANS LIMA LARGE DRY,['Dry Beans']
BEANS LIMA LARGE DRY ,['Dry Beans']
BEANS LIMA UNSPECIFIED,['Dry Beans']
BEANS LIMA UNSPECIFIED ,['Dry Beans']
BEANS PINK,['Dry Beans']
BEANS PINK ,['Dry Beans']
BEANS SEED,['Dry Beans']
BEANS SEED ,['Dry Beans']
BEANS SNAP FRESH MARKET,['Dry Beans']
BEANS SNAP FRESH MARKET ,['Dry Beans']
BEANS SNAP PROCESSING ,['Dry Beans']
BEANS SNAP UNSPECIFIED,['Dry Beans']
BEANS SNAP UNSPECIFIED ,['Dry Beans']
BEETS,['Sugarbeets']
BEETS GARDEN,['Sugarbeets']
BEETS GARDEN ,['Sugarbeets']
BERRIES BLACKBERRIES,['Caneberries']
BERRIES BLACKBERRIES ,['Caneberries']
BERRIES BLUEBERRIES,['Blueberries']
BERRIES BLUEBERRIES ,['Blueberries']
BERRIES BOYSENBERRIES,['Caneberries']
BERRIES BOYSENBERRIES ,['Caneberries']
BERRIES BUSHBERRIES UNSPECIFIED,['Caneberries']
BERRIES BUSHBERRIES UNSPECIFIED ,['Caneberries']
BERRIES LOGANBERRIES ,['Caneberries']
BERRIES RASPBERRIES,['Caneberries']
BERRIES RASPBERRIES ,['Caneberries']
BERRIES STRAWBERRIES ALL,['Strawberries']
BERRIES STRAWBERRIES FRESH MARKET,['Strawberries']
BERRIES STRAWBERRIES FRESH MARKET ,['Strawberries']
BERRIES STRAWBERRIES PROCESSING,['Strawberries']
BERRIES STRAWBERRIES PROCESSING ,['Strawberries']
BERRIES STRAWBERRIES UNSPECIFIED,['Strawberries']
BERRIES STRAWBERRIES UNSPECIFIED ,['Strawberries']
BROCCOLI FOOD SERVICE,['Broccoli']
BROCCOLI FOOD SERVICE ,['Broccoli']
BROCCOLI FRESH MARKET,['Broccoli']
BROCCOLI FRESH MARKET ,['Broccoli']
BROCCOLI PROCESSING,['Broccoli']
BROCCOLI PROCESSING ,['Broccoli']
BROCCOLI UNSPECIFIED,['Broccoli']
BROCCOLI UNSPECIFIED ,['Broccoli']
BRUSSELS SPROUTS,['Brussels Sprouts']
BRUSSELS SPROUTS ,['Brussels Sprouts']
"Barley, Grain",['Barley']
"Barley, Misc Uses",['Barley']
"Beans, All",['Dry Beans']
"Beans, Fresh (Snap)",['Dry Beans']
"Beans, Misc, Including Chickpeas",['Dry Beans']
Beets,['Sugarbeets']
"Berries, Blackberries",['Caneberries']
"Berries, Blueberries",['Blueberries']
"Berries, Misc",['Caneberries']
"Berries, Raspberries",['Caneberries']
"Berries, Strawberries, All",['Strawberries']
"Berries, Strawberries, Misc",['Strawberries']
Bok Choy,['Greens']
Broccoli,['Broccoli']
Brussels Sprouts,['Brussels Sprouts']
CABBAGE CHINESE & SPECIALTY,['Cabbage']
CABBAGE CHINESE & SPECIALTY ,['Cabbage']
CABBAGE HEAD,['Cabbage']
CABBAGE HEAD ,['Cabbage']
CAROBS ,['Carrots']
CARROTS FOOD SERVICE,['Carrots']
CARROTS FOOD SERVICE ,['Carrots']
CARROTS FRESH MARKET,['Carrots']
CARROTS FRESH MARKET ,['Carrots']
CARROTS PROCESSING,['Carrots']
CARROTS PROCESSING ,['Carrots']
CARROTS UNSPECIFIED,['Carrots']
CARROTS UNSPECIFIED ,['Carrots']
CAULIFLOWER FOOD SERVICE,['Cauliflower']
CAULIFLOWER FOOD SERVICE ,['Cauliflower']
CAULIFLOWER FRESH MARKET,['Cauliflower']
CAULIFLOWER FRESH MARKET ,['Cauliflower']
CAULIFLOWER UNSPECIFIED,['Cauliflower']
CAULIFLOWER UNSPECIFIED ,['Cauliflower']
CELERY FOOD SERVICE,['Celery']
CELERY FOOD SERVICE ,['Celery']
CELERY FRESH MARKET,['Celery']
CELERY FRESH MARKET ,['Celery']
CELERY UNSPECIFIED,['Celery']
CELERY UNSPECIFIED ,['Celery']
CHAYOTES,['Misc Vegs & Fruits']
CHAYOTES ,['Misc Vegs & Fruits']
CHERIMOYAS,['Other Tree Crops']
CHERIMOYAS ,['Other Tree Crops']
CHERRIES SWEET,['Cherries']
CHERRIES SWEET ,['Cherries']
CHESTNUTS,['Other Tree Crops']
CHESTNUTS ,['Other Tree Crops']
CHIVES,['Cherries']
CHIVES ,['Cherries']
CHRISTMAS TREES & CUT GREENS ,['Christmas Trees']
CILANTRO,['Herbs']
CILANTRO ,['Herbs']
CITRUS UNSPECIFIED,['Citrus']
CITRUS UNSPECIFIED ,['Citrus']
COLLARD GREENS,['Greens']
COLLARD GREENS ,['Greens']
CORN CRAZY ,['Corn']
CORN GRAIN,['Corn']
CORN GRAIN ,['Corn']
CORN POPCORN,['Corn']
CORN POPCORN ,['Corn']
CORN SEED ,['Corn']
CORN SILAGE,['Corn']
CORN SILAGE ,['Corn']
CORN SWEET ALL,['Corn']
CORN SWEET ALL ,['Corn']
CORN WHITE ,['Corn']
COTTON LINT PIMA,['Cotton']
COTTON LINT PIMA ,['Cotton']
COTTON LINT UNSPECIFIED,['Cotton']
COTTON LINT UNSPECIFIED ,['Cotton']
COTTON LINT UPLAND,['Cotton']
COTTON LINT UPLAND ,['Cotton']
COTTON SEED PLANTING,['Cotton']
COTTON SEED PLANTING ,['Cotton']
COTTONSEED,['Cotton']
COTTONSEED ,['Cotton']
CUCUMBERS,['Cucumbers']
CUCUMBERS ,['Cucumbers']
"Cabbage, Head",['Cabbage']
"Cabbage, Napa",['Cabbage']
Carrots,['Carrots']
Cauliflower,['Cauliflower']
Celery,['Celery']
Chard,['Greens']
Cherries,['Cherries']
Cilantro,['Herbs']
"Citrus, Misc",['Citrus']
"Corn, Grain",['Corn']
"Corn, Silage",['Corn']
"Corn, Sweet (Fresh)",['Sweet Corn']
"Cotton, Lint, All",['Cotton']
"Cotton, Lint, Misc",['Cotton']
"Cotton, Lint, Pima",['Cotton']
"Cotton, Lint, Upland",['Cotton']
Cucumbers,['Cucumbers']
DATES,['Other Tree Crops']
DATES ,['Other Tree Crops']
Dates,['Other Tree Crops']
EGGPLANT ALL,['Eggplants']
EGGPLANT ALL ,['Eggplants']
ENDIVE ALL,['Greens']
ENDIVE ALL ,['Greens']
ESCAROLE ALL,['Greens']
ESCAROLE ALL ,['Greens']
Eggplant,['Eggplants']
Endive,['Greens']
Escarole,['Greens']
FIELD CROP BY-PRODUCTS ,['Other Crops']
FIELD CROPS SEED MISC.,['Other Crops']
FIELD CROPS SEED MISC. ,['Other Crops']
FIELD CROPS UNSPECIFIED,['Other Crops']
FIELD CROPS UNSPECIFIED ,['Other Crops']
FIGS,['Other Tree Crops']
FIGS DRIED,['Other Tree Crops']
FIGS DRIED ,['Other Tree Crops']
FLOWERS DECORATIVE DRIED,['Other Crops']
FLOWERS DECORATIVE DRIED ,['Other Crops']
FLOWERS LILACS CUT ,['Other Crops']
FRUITS & NUTS UNSPECIFIED,['Other Tree Crops']
FRUITS & NUTS UNSPECIFIED ,['Other Tree Crops']
Figs,['Other Tree Crops']
GARLIC ALL,['Garlic']
GARLIC ALL ,['Garlic']
GRAPEFRUIT ALL,['Citrus']
GRAPEFRUIT ALL ,['Citrus']
GRAPES RAISIN,['Grapes']
GRAPES RAISIN ,['Grapes']
GRAPES TABLE,['Grapes']
GRAPES TABLE ,['Grapes']
GRAPES UNSPECIFIED,['Grapes']
GRAPES UNSPECIFIED ,['Grapes']
GRAPES WINE,['Grapes']
GRAPES WINE ,['Grapes']
GREENS TURNIP & MUSTARD,['Mustard']
GREENS TURNIP & MUSTARD ,['Mustard']
GUAVAS,['Other Tree Crops']
GUAVAS ,['Other Tree Crops']
Garlic,['Garlic']
Grapefruit,['Citrus']
"Grapes, All",['Grapes']
"Grapes, Misc",['Grapes']
"Grapes, Raisin",['Grapes']
"Grapes, Table",['Grapes']
"Grapes, Wine, All",['Grapes']
"Grapes, Wine, Misc",['Grapes']
"Grapes, Wine, Red",['Grapes']
"Grapes, Wine, White",['Grapes']
Green Chop,['Other Hay/Non Alfalfa']
"Greens, Specialty",['Greens']
HAY ALFALFA,['Alfalfa']
HAY ALFALFA ,['Alfalfa']
HAY GRAIN,['Other Hay/Non Alfalfa']
HAY GRAIN ,['Other Hay/Non Alfalfa']
HAY GREEN CHOP,['Other Hay/Non Alfalfa']
HAY GREEN CHOP ,['Other Hay/Non Alfalfa']
HAY OTHER UNSPECIFIED,['Other']
HAY OTHER UNSPECIFIED ,['Other']
HAY SUDAN,['Other Hay/Non Alfalfa']
HAY SUDAN ,['Other Hay/Non Alfalfa']
HAY WILD,['Other Hay/Non Alfalfa']
HAY WILD ,['Other Hay/Non Alfalfa']
HORSERADISH,['Other Crops']
HORSERADISH ,['Other Crops']
"Hay, Bermuda Grass",['Other Hay/Non Alfalfa']
"Hay, Grain, Misc",['Other Hay/Non Alfalfa']
"Hay, Misc",['Other Hay/Non Alfalfa']
"Hay, Sudan",['Other Hay/Non Alfalfa']
"Hay, Wild",['Other Hay/Non Alfalfa']
Herbs & Spices,['Herbs']
Horseradish,['Other Crops']
Hybrid Stone Fruits,['Other Tree Crops']
JOJOBA,['Other Tree Crops']
JOJOBA ,['Other Tree Crops']
Jujubes,['Other Tree Crops']
KALE,['Greens']
KALE ,['Greens']
KIWIFRUIT,['Other Tree Crops']
KIWIFRUIT ,['Other Tree Crops']
KOHLRABI,['Greens']
KOHLRABI ,['Greens']
KUMQUATS,['Citrus']
KUMQUATS ,['Citrus']
Kale,['Greens']
Kiwifruit,['Other Tree Crops']
Kumquats,['Citrus']
LEEKS,['Onions']
LEEKS ,['Onions']
LEMONS ALL,['Almonds']
LEMONS ALL ,['Almonds']
LETTUCE BULK SALAD PRODUCTS,['Lettuce']
LETTUCE BULK SALAD PRODUCTS ,['Lettuce']
LETTUCE HEAD,['Lettuce']
LETTUCE HEAD ,['Lettuce']
LETTUCE LEAF,['Lettuce']
LETTUCE LEAF ,['Lettuce']
LETTUCE ROMAINE,['Lettuce']
LETTUCE ROMAINE ,['Lettuce']
LETTUCE UNSPECIFIED,['Lettuce']
LETTUCE UNSPECIFIED ,['Lettuce']
LIMES ALL,['Citrus']
LIMES ALL ,['Citrus']
Leeks,['Onions']
Lemons,['Almonds']
"Lettuce, All",['Lettuce']
"Lettuce, Head",['Lettuce']
"Lettuce, Leaf",['Lettuce']
"Lettuce, Misc",['Lettuce']
"Lettuce, Romaine",['Lettuce']
Limes,['Olives']
MACADAMIA NUTS,['Other Tree Crops']
MACADAMIA NUTS ,['Other Tree Crops']
MELONS CANTALOUPE,['Cantaloupes']
MELONS CANTALOUPE ,['Cantaloupes']
MELONS CRENSHAW,['Cantaloupes']
MELONS CRENSHAW ,['Cantaloupes']
MELONS HONEYDEW,['Honeydew Melons']
MELONS HONEYDEW ,['Honeydew Melons']
MELONS UNSPECIFIED,['Other Crops']
MELONS UNSPECIFIED ,['Other Crops']
MELONS WATERMELON,['Watermelons']
MELONS WATERMELON ,['Watermelons']
MINT,['Mint']
MINT ,['Mint']
MUSHROOMS,['Other Crops']
MUSHROOMS ,['Other Crops']
"Melons, Cantaloupe",['Cantaloupes']
"Melons, Honeydew",['Honeydew Melons']
"Melons, Misc",['Cantaloupes']
"Melons, Watermelon",['Watermelons']
Mint,['Mint']
Mushrooms,['Other Crops']
NECTARINES,['Nectarines']
NECTARINES ,['Nectarines']
NURSERY FRUIT/VINE/NUT NON-BEARING ,['Other Tree Crops']
NURSERY PLANTS STRAWBERRY,['Strawberries']
NURSERY PLANTS STRAWBERRY ,['Strawberries']
Nectarines,['Nectarines']
OATS GRAIN,['Oats']
OATS GRAIN ,['Oats']
OATS SEED,['Oats']
OATS SEED ,['Oats']
OKRA,['Other Crops']
OKRA ,['Other Crops']
OLIVES,['Olives']
OLIVES ,['Olives']
ONIONS,['Onions']
ONIONS ,['Onions']
ONIONS GREEN & SHALLOT,['Onions']
ONIONS GREEN & SHALLOT ,['Onions']
ORANGES NAVEL,['Oranges']
ORANGES NAVEL ,['Oranges']
ORANGES UNSPECIFIED,['Oranges']
ORANGES UNSPECIFIED ,['Oranges']
ORANGES VALENCIA,['Oranges']
ORANGES VALENCIA ,['Oranges']
"Oats, Grain",['Oats']
"Oats, Hay",['Oats']
"Oats, Misc Uses",['Oats']
"Oats, Silage",['Oats']
Okra,['Other Crops']
Olives,['Olives']
"Onions, Dry",['Onions']
"Oranges, All",['Oranges']
"Oranges, Misc",['Oranges']
"Oranges, Navel",['Oranges']
"Oranges, Valencia",['Oranges']
PARSLEY,['Barley']
PARSLEY ,['Barley']
PARSNIPS,['Other Crops']
PARSNIPS ,['Other Crops']
PASTURE FORAGE MISC.,['Other Hay/Non Alfalfa']
PASTURE FORAGE MISC. ,['Other Hay/Non Alfalfa']
PEACHES CLINGSTONE,['Peaches']
PEACHES CLINGSTONE ,['Peaches']
PEACHES FREESTONE,['Peaches']
PEACHES FREESTONE ,['Peaches']
PEACHES UNSPECIFIED,['Peaches']
PEACHES UNSPECIFIED ,['Peaches']
PEANUTS ALL,['Peanuts']
PEANUTS ALL ,['Peanuts']
PEARS ASIAN,['Pears']
PEARS ASIAN ,['Pears']
PEARS BARTLETT,['Pears']
PEARS BARTLETT ,['Pears']
PEARS UNSPECIFIED,['Pears']
PEARS UNSPECIFIED ,['Pears']
PEAS DRY EDIBLE,['Peas']
PEAS DRY EDIBLE ,['Peas']
PEAS EDIBLE POD (SNOW),['Peas']
PEAS EDIBLE POD (SNOW) ,['Peas']
PEAS GREEN UNSPECIFIED,['Peas']
PEAS GREEN UNSPECIFIED ,['Peas']
PEAS SEED ,['Peas']
PECANS,['Pecans']
PECANS ,['Pecans']
PEPPERS BELL,['Peppers']
PEPPERS BELL ,['Peppers']
PEPPERS CHILI HOT,['Peppers']
PEPPERS CHILI HOT ,['Peppers']
PERSIMMONS,['Other Tree Crops']
PERSIMMONS ,['Other Tree Crops']
PISTACHIOS,['Pistachios']
PISTACHIOS ,['Pistachios']
PLUMCOTS,['Plums']
PLUMCOTS ,['Plums']
PLUMCOTS & OTHER HYBRID STONE FRUIT,['Other']
PLUMS,['Plums']
PLUMS ,['Plums']
PLUMS DRIED,['Plums']
PLUMS DRIED ,['Plums']
POMEGRANATES,['Pomegranates']
POMEGRANATES ,['Pomegranates']
POTATOES ALL,['Potatoes']
POTATOES ALL ,['Potatoes']
POTATOES SEED,['Potatoes']
POTATOES SEED ,['Potatoes']
POTATOES SWEET,['Potatoes']
POTATOES SWEET ,['Potatoes']
PUMPKINS,['Pumpkins']
PUMPKINS ,['Pumpkins']
Parsley,['Barley']
"Peaches, All",['Peaches']
"Peaches, Clingstone",['Peaches']
"Peaches, Freestone",['Peaches']
"Peaches, Misc",['Peaches']
"Pears, All",['Pears']
"Pears, Asian",['Pears']
"Pears, Bartlett",['Pears']
"Pears, Misc",['Pears']
"Peas, Green (Fresh)",['Peas']
Pecans,['Pecans']
"Peppers, All",['Peppers']
"Peppers, Bell",['Peppers']
"Peppers, Chili",['Peppers']
"Peppers, Misc",['Peppers']
Persimmons,['Other Tree Crops']
Pistachios,['Pistachios']
Plums,['Plums']
Pomegrantates,['Pomegranates']
Potatoes,['Potatoes']
Prunes,['Prunes']
QUINCE,['Other Tree Crops']
QUINCE ,['Other Tree Crops']
Quince,['Other Tree Crops']
RADICCHIO,['Greens']
RADICCHIO ,['Greens']
RADISHES,['Radishes']
RADISHES ,['Radishes']
RAPPINI,['Greens']
RAPPINI ,['Greens']
RICE MILLING,['Rice']
RICE MILLING ,['Rice']
RICE SEED,['Rice']
RICE SEED ,['Rice']
RICE WILD,['Rice']
RICE WILD ,['Rice']
RUTABAGAS,['Greens']
RUTABAGAS ,['Greens']
RYE GRAIN,['Rye']
RYE GRAIN ,['Rye']
RYE SEED,['Rye']
RYE SEED ,['Rye']
RYEGRASS PERENNIAL ALL,['Other Crops']
RYEGRASS PERENNIAL ALL ,['Other Crops']
Radishes,['Radishes']
"Rice, All",['Rice']
"Rice, Excluding Wild",['Rice']
"Rice, Wild",['Rice']
Ryegrass,['Other Crops']
"Ryegrass, All",['Other Crops']
SAFFLOWER,['Safflower']
SAFFLOWER ,['Safflower']
SAFFLOWER SEED PLANTING,['Safflower']
SAFFLOWER SEED PLANTING ,['Safflower']
SALAD GREENS MISC,['Greens']
SALAD GREENS MISC.,['Greens']
SALAD GREENS MISC. ,['Greens']
SEED ALFALFA,['Alfalfa']
SEED ALFALFA ,['Alfalfa']
SEED BERMUDA GRASS,['Sod/Grass Seed']
SEED BERMUDA GRASS ,['Sod/Grass Seed']
SEED CLOVER UNSPECIFIED,['Clover/Wildflowers']
SEED CLOVER UNSPECIFIED ,['Clover/Wildflowers']
SEED SUDAN GRASS,['Other Hay/Non Alfalfa']
SEED SUDAN GRASS ,['Other Hay/Non Alfalfa']
SEED VEGETABLE & VINECROP,['Other Crops']
SEED VEGETABLE & VINECROP ,['Other Crops']
SEED VETCH,['Vetch']
SEED VETCH ,['Vetch']
SILAGE,['Other Hay/Non Alfalfa']
SILAGE ,['Other Hay/Non Alfalfa']
SORGHUM GRAIN,['Sorghum']
SORGHUM GRAIN ,['Sorghum']
SORGHUM SILAGE,['Sorghum']
SORGHUM SILAGE ,['Sorghum']
SOYBEANS ,['Soybeans']
SPICES AND HERBS,['Herbs']
SPICES AND HERBS ,['Herbs']
SPINACH FOOD SERVICE,['Greens']
SPINACH FOOD SERVICE ,['Greens']
SPINACH FRESH MARKET,['Greens']
SPINACH FRESH MARKET ,['Greens']
SPINACH PROCESSING,['Greens']
SPINACH PROCESSING ,['Greens']
SPINACH UNSPECIFIED,['Greens']
SPINACH UNSPECIFIED ,['Greens']
SPROUTS ALFALFA & BEAN,['Alfalfa']
SPROUTS ALFALFA & BEAN ,['Alfalfa']
SQUASH,['Squash']
SQUASH ,['Squash']
STRAW,['Other Hay/Non Alfalfa']
STRAW ,['Other Hay/Non Alfalfa']
SUGAR BEETS,['Sugarbeets']
SUGAR BEETS ,['Sugarbeets']
SUNFLOWER SEED PLANTING,['Sunflower']
SUNFLOWER SEED PLANTING ,['Sunflower']
SWISS CHARD,['Greens']
SWISS CHARD ,['Greens']
Safflower,['Safflower']
"Seed for Planting, Alfalfa",['Alfalfa']
"Seed for Planting, Bean",['Dry Beans']
"Seed for Planting, Bermuda Grass",['Sod/Grass Seed']
"Seed for Planting, Misc",['Other Crops']
"Seed for Planting, Misc Field Crops",['Other Crops']
"Seed for Planting, Potato",['Potatoes']
"Seed for Planting, Rice",['Rice']
"Seed for Planting, Rye",['Rye']
"Seed for Planting, Sunflower",['Sunflower']
"Seed for Planting, Wheat",['Winter Wheat']
"Silage, Misc",['Other Hay/Non Alfalfa']
"Sorghum, Silage",['Sorghum']
Spinach,['Greens']
"Squash, All",['Squash']
"Squash, Misc",['Squash']
"Squash, Summer",['Squash']
"Squash, Winter, Pumpkins",['Pumpkins']
Sugar Beets,['Sugarbeets']
Sweet Potatoes,['Potatoes']
TANGELOS,['Citrus']
TANGELOS ,['Citrus']
TANGERINES & MANDARINS,['Citrus']
TANGERINES & MANDARINS ,['Citrus']
TARO ROOT,['Other Crops']
TARO ROOT ,['Other Crops']
TOMATILLO,['Tomatoes']
TOMATILLO ,['Tomatoes']
TOMATOES CHERRY ,['Tomatoes']
TOMATOES FRESH MARKET,['Tomatoes']
TOMATOES FRESH MARKET ,['Tomatoes']
TOMATOES GREENHOUSE ,['Tomatoes']
TOMATOES PROCESSING,['Tomatoes']
TOMATOES PROCESSING ,['Tomatoes']
TOMATOES UNSPECIFIED,['Tomatoes']
TOMATOES UNSPECIFIED ,['Tomatoes']
TRITICALE,['Triticale']
TRITICALE ,['Triticale']
TURNIPS ALL,['Turnips']
TURNIPS ALL ,['Turnips']
Tangelos,['Citrus']
Tangerines & Mandarins,['Citrus']
"Tomatoes, Fresh",['Tomatoes']
"Tomatoes, Misc",['Tomatoes']
"Tomatoes, Processing",['Tomatoes']
"Triticale, All",['Triticale']
"Triticale, Hay",['Triticale']
"Triticale, Misc Uses",['Triticale']
VEGETABLES ASIAN,['Misc Vegs & Fruits']
VEGETABLES BABY ,['Misc Vegs & Fruits']
VEGETABLES ORIENTAL ALL,['Misc Vegs & Fruits']
VEGETABLES ORIENTAL ALL ,['Misc Vegs & Fruits']
VEGETABLES UNSPECIFIED,['Misc Vegs & Fruits']
VEGETABLES UNSPECIFIED ,['Misc Vegs & Fruits']
WALNUTS BLACK,['Walnuts']
WALNUTS BLACK ,['Walnuts']
WALNUTS ENGLISH,['Walnuts']
WALNUTS ENGLISH ,['Walnuts']
WHEAT ALL,['Durum Wheat']
WHEAT ALL ,['Durum Wheat']
WHEAT SEED,['Winter Wheat']
WHEAT SEED ,['Winter Wheat']
Walnuts,['Walnuts']
"Wheat, Grain",['Spring Wheat']
"Wheat, Hay",['Winter Wheat']
"Wheat, Misc Uses",['Winter Wheat']
"Wheat, Silage",['Spring Wheat']
YUCCA ,['Other Crops']
